time_s,alt_m,ax_ms2,ay_ms2,az_ms2
12.945,169.2,0.1,-0.323,8.174
12.969,169.2,0.177,-0.519,7.324
12.989,169.2,0.45,-0.38,7.001
13.013,169.21,0.921,-0.239,6.528
13.033,169.22,0.694,-0.187,7.119
13.057,169.14,0.072,-0.342,7.628
13.082,169.14,-0.179,-1.182,7.647
13.486,169.21,0.292,-1.029,8.849
13.506,169.09,-0.014,-0.828,9.301
13.526,168.99,0.022,-0.555,9.6
13.55,169.0,0.651,-0.1,8.593
13.575,169.0,0.873,-0.017,8.215
13.595,168.98,0.835,-0.136,8.375
13.619,168.93,0.019,-0.529,9.287
13.639,168.94,-0.084,-0.014,9.346
13.663,168.87,0.471,0.268,8.765
13.688,168.87,0.373,-0.139,9.26
13.836,168.81,-1.158,-0.06,10.112
13.856,168.81,-0.711,-0.285,9.002
13.88,168.78,-0.189,-0.254,9.184
13.9,168.83,-0.246,0.172,10.325
13.924,168.84,-0.878,0.321,11.62
13.949,168.84,-1.046,0.127,11.588
13.969,168.81,-0.936,-0.093,10.459
13.993,168.84,-0.514,-0.27,8.92
14.013,168.88,-0.098,-0.203,8.286
14.037,168.8,0.232,-0.244,7.796
14.19,168.8,-0.11,0.175,8.578
14.21,168.77,-0.402,0.141,8.987
14.23,168.76,-0.94,-0.103,9.916
14.254,168.76,-1.156,-0.127,9.837
14.279,168.76,-1.273,-0.057,9.638
14.299,168.78,-1.254,0.251,9.873
14.323,168.76,-1.541,0.342,10.715
14.343,168.74,-1.771,0.242,10.756
14.367,168.72,-1.376,-0.093,10.315
14.392,168.72,-1.043,-0.318,10.347
14.54,168.72,-0.639,-1.73,8.631
14.56,168.69,-0.617,-0.799,9.394
14.584,168.63,-0.206,-0.246,9.136
14.604,168.57,0.036,-0.148,9.284
14.628,168.54,-0.474,-0.402,9.342
14.653,168.54,-0.593,-0.371,9.602
14.673,168.56,-0.404,-0.129,9.925
14.697,168.55,-0.1,0.098,9.428
14.717,168.6,-0.483,-0.203,9.937
14.741,168.57,-1.194,-0.467,10.83
14.895,168.57,-1.828,-0.474,13.232
14.915,168.56,-1.412,-0.141,11.258
14.939,168.54,-0.493,0.139,9.459
14.959,168.57,0.043,0.443,8.672
14.983,168.53,0.182,0.569,8.006
15.008,168.53,-0.122,0.098,8.171
15.028,168.52,-0.581,-0.316,8.428
