device_timestamp,altitude,acceleration,ax_ms2,ay_ms2,az_ms2,altitude_filtered,acceleration_filtered,velocity_filtered
504.02,-64.46,10.013375504793576,-0.067,-0.428,10.004,0.40600000000000364,0.00109898510449149,-0.05713249309974695
504.04,-64.46,10.007424144104217,-0.065,-0.452,9.997,0.40280000000000316,0.0013993977721653294,-0.04193249309973436
504.19,-64.46,10.013308793800379,-0.081,-0.424,10.004,0.40040000000000303,0.0007416604997034426,-0.02593249309973636
504.21,-64.45,10.01233584135091,-0.084,-0.447,10.002,0.39760000000000334,0.00018850000933007038,-0.006732493099758996
504.24,-64.49,9.990064864654284,-0.086,-0.44,9.98,0.3952000000000032,0.0005909215135852008,0.007267506900263073
504.26,-64.47,10.007468311216378,-0.098,-0.447,9.997,0.390400000000003,0.00125881551724774,0.020501332403602027
504.28,-64.47,10.02679709578288,-0.11,-0.452,10.016,0.3900000000000034,0.00316740047652047,0.036501332403598624
504.30,-64.46,10.02275181773948,-0.081,-0.457,10.012,0.3884000000000032,0.0034464740027063813,0.050767999070246324
504.32,-64.43,10.005422679727229,-0.093,-0.447,9.995,0.3900000000000034,0.003664116183955741,0.056767999070245434
504.34,-64.44,9.998189286065752,-0.086,-0.443,9.988,0.39360000000000356,0.004142582373841748,0.06252799907025083
504.37,-64.44,10.02192237048362,-0.072,-0.44,10.012,0.3980000000000035,0.0040212205929481114,0.06516643044280171
504.39,-64.46,10.014333777141642,-0.084,-0.447,10.004,0.39960000000000323,0.003496059602318411,0.06516643044279034
504.54,-64.43,10.017059548590094,-0.072,-0.443,10.007,0.40360000000000296,0.0027748597420102785,0.06793976377612068
504.56,-64.43,10.021641631988246,-0.086,-0.431,10.012,0.4084000000000026,0.0025009323384622205,0.06633976377613654
504.59,-64.41,9.993796225659198,-0.093,-0.455,9.983,0.41520000000000207,0.002429858790177022,0.06633976377613746
504.61,-64.38,10.005695028332614,-0.098,-0.452,9.995,0.4220000000000016,0.0021511086459425144,0.0650640590781491
504.63,-64.37,10.017218875516297,-0.105,-0.44,10.007,0.4276000000000016,0.002652304382375661,0.06906405907815132
504.66,-64.37,10.022033426406042,-0.069,-0.443,10.012,0.43520000000000153,0.0038593424149825496,0.07226405907815356
504.68,-64.3,10.036552794660127,-0.096,-0.45,10.026,0.4400000000000017,0.00376093180527846,0.08119739241149666
504.70,-64.37,10.000495437727073,-0.1,-0.447,9.99,0.44480000000000186,0.0031813650038908037,0.08058405907816174
504.72,-64.3,10.029361445276564,-0.089,-0.447,10.019,0.44840000000000146,0.0033475603531435637,0.08432097182983396
504.75,-64.3,10.028465386089739,-0.091,-0.426,10.019,0.45200000000000157,0.002927247446697052,0.07552097182982492
505.15,-64.28,10.002456148366761,-0.069,-0.452,9.992,0.4528000000000014,0.0034044512003675465,0.06504097182983053
505.17,-64.37,10.001490338944492,-0.081,-0.428,9.992,0.45080000000000153,0.003914121178600354,0.05400097182983677
505.20,-64.36,9.998446729367517,-0.112,-0.443,9.988,0.4492000000000013,0.004079010843677082,0.05400097182983078
505.22,-64.34,10.006527319704874,-0.086,-0.428,9.997,0.4464000000000016,0.0037071383799020196,0.05296201079086979
505.24,-64.29,10.005647305397087,-0.093,-0.452,9.995,0.44320000000000165,0.003594168911641802,0.04176201079086062
505.27,-64.29,10.006340040194516,-0.084,-0.424,9.997,0.4420000000000016,0.004887873407563958,0.02786867745752681
505.29,-64.31,10.024865734761738,-0.084,-0.459,10.014,0.4412000000000012,0.00544613790029885,0.013468677457556337
505.31,-64.3,10.020240815469457,-0.084,-0.467,10.009,0.4408000000000015,0.005641673417452892,0.0008020107908682374
505.33,-64.35,10.005008045973776,-0.081,-0.44,9.995,0.4404000000000019,0.0057547602625916735,-0.012080569854276572
505.36,-64.35,10.012307925748189,-0.091,-0.445,10.002,0.43960000000000204,0.004124873290545423,-0.022480569854286883
505.50,-64.37,10.026906701470798,-0.089,-0.459,10.016,0.44160000000000255,0.004629424078823448,-0.02941390318760252
505.52,-64.34,9.994914857066066,-0.103,-0.433,9.985,0.43880000000000224,0.004010360689056825,-0.03061390318761077
